,x,y
0,0.0,0.07120451517843318
1,0.14285714285714285,0.9296495865895096
2,0.2857142857142857,0.9585741542928625
3,0.42857142857142855,1.1363862438253598
4,0.5714285714285714,1.043660870540978
5,0.7142857142857142,1.4432454385610964
6,0.8571428571428571,1.593191165746675
7,1.0,2.332923327641283
8,1.1428571428571428,3.1181577853701263
9,1.2857142857142856,2.9780406028091964
10,1.4285714285714284,4.524077004394524
11,1.5714285714285714,5.149843628929762
12,1.7142857142857142,6.232792772386687
13,1.857142857142857,8.399366681458547
14,2.0,9.654603511266888
